,user_id,break_10-1,Score,Result_class,lost_9-2,3wu_8-3,lost_8-4,break_8-5
200,7014061424298548,0,2.0137088480367904,0,0,-1,0,0
424,7014070424388778,0,2.013326278517603,0,0,-1,0,0
429,7014053024251331,0,2.013326278517603,0,0,-1,0,0
423,7014080324504867,0,2.013326278517603,0,0,-1,0,0
272,7014082124565108,0,2.0124345115261013,0,0,-1,0,0
527,7014061024285191,0,2.0122867047393145,0,0,-1,0,0
724,7014070824403289,0,2.0121559231286357,0,0,-1,0,0
485,7014061924316650,0,2.0107756611113383,0,0,-1,0,0
201,7014071024407784,0,2.0106520190188895,0,0,-1,0,0
127,7014070724399591,0,2.0083909602423375,0,0,-1,0,0
308,7014072324454314,0,2.007788750546884,0,0,-1,0,0
169,7014091224643958,0,2.007407645528593,0,0,-1,0,0
280,7014071024409395,0,2.0034676542198984,0,0,-1,0,0
475,7014073066561932,0,2.0034676542198984,0,0,-1,0,0
384,7014061224292026,0,2.0021588484408266,0,0,-1,0,0
493,7014061524302650,0,2.0021588484408266,0,0,-1,0,0
487,7014061524303424,0,2.0021588484408266,0,0,-1,0,0
728,7014051324208663,0,2.001731165266243,0,0,-1,0,0
112,7014052224228897,0,2.000612029302799,0,0,-1,0,0
100,7014073124489194,0,1.9980210845878084,0,0,-1,0,0
214,7014060824278639,0,1.9974788256137028,0,0,-1,0,0
528,7014091624653308,0,1.9974591054310473,0,0,-1,0,0
126,7014091624653461,0,1.9974591054310473,0,0,-1,0,0
172,7014091224643188,0,1.9974591054310473,0,0,-1,0,0
244,7014060166456432,0,1.9969891852555255,0,0,-1,0,0
238,7014082424572966,0,1.996183393893281,0,0,-1,0,0
82,7014081724549963,0,1.995326326071818,0,0,-1,0,0
692,7014031824180600,0,1.995326326071818,0,0,-1,0,0
644,7014060424268595,0,1.9945690829367824,0,0,-1,0,0
50,7014091624653173,0,1.994260748207199,0,0,-1,0,0
41,7014082924597565,0,1.9925533071012473,0,0,-1,0,0
691,7014052224227474,0,1.9924664006781154,0,0,-1,0,0
658,7014091224641432,0,1.9921312149306338,0,0,-1,0,0
359,7014091224641329,0,1.9921312149306338,0,0,-1,0,0
664,7014042824189892,0,1.988950464690244,0,0,-1,0,0
567,7014072924477058,0,1.9853464996555739,0,0,-1,0,0
584,7014082024560798,0,1.9827382198297456,0,0,-1,0,0
135,7014090424621181,0,1.9825908860450148,0,0,-1,0,0
727,7014081224532824,0,1.9824563997255966,0,0,-1,0,0
286,7014072824474984,0,1.9815159364388886,0,0,-1,0,0
277,7014061924317839,0,1.9764845059165013,0,0,-1,0,0
59,7014080124496097,0,1.9756570517429197,0,0,-1,0,0
43,7014043024192428,0,1.9690729384800647,0,0,-1,0,0
619,7014052966447069,0,1.966928627147593,0,0,-1,0,0
85,7014071724433410,0,1.965364226739932,0,0,-1,0,0
503,7014092267233176,0,1.9597756398008415,0,0,-1,0,0
374,7014061924319080,0,1.952459626007739,0,0,-1,0,0
634,7014081824551352,0,1.950058673316483,0,0,-1,0,0
181,7014080124497816,0,1.9499423979000021,0,0,-1,0,0
287,7014090724629225,0,1.9487114321336148,0,0,-1,0,0
361,7014083024601211,0,1.9487114321336148,0,0,-1,0,0
484,7014083024600375,0,1.941611018951257,0,0,-1,0,0
669,7014092024665441,0,1.9414605142083319,0,0,-1,0,0
509,7014051924220189,0,1.9400196246596015,0,0,-1,0,0
110,7014091567114769,0,1.9396425313144297,0,0,4,0,0
333,7014051824218333,0,1.939243506919643,0,0,-1,0,0
514,7014090924635025,0,1.936344533535313,0,0,-1,0,0
77,7014082224568448,0,1.930274463464247,0,0,-1,0,0
